trace_id,span_id,service,operation,source_field,value
a7a623eadf2236632500a202a5db86d3,7676b79514ce44e6,ts-execute-service,GET /api/v1/executeservice/execute/collected/{orderId},http.target,47e2a130-7462-4e5b-b549-5ff8f7a4a17f
a7a623eadf2236632500a202a5db86d3,b49b34dfff596cfc,ts-execute-service,GET,http.url,47e2a130-7462-4e5b-b549-5ff8f7a4a17f
a7a623eadf2236632500a202a5db86d3,b49b34dfff596cfc,ts-execute-service,GET,http.url,12032
a7a623eadf2236632500a202a5db86d3,f49bbd642f401754,ts-execute-service,GET,http.url,47e2a130-7462-4e5b-b549-5ff8f7a4a17f
a7a623eadf2236632500a202a5db86d3,f49bbd642f401754,ts-execute-service,GET,http.url,12032
a7a623eadf2236632500a202a5db86d3,0b071741a65549ac,ts-execute-service,GET,http.url,47e2a130-7462-4e5b-b549-5ff8f7a4a17f
a7a623eadf2236632500a202a5db86d3,0b071741a65549ac,ts-execute-service,GET,http.url,12031
a7a623eadf2236632500a202a5db86d3,f5c71a2c5bd566f3,ts-gateway-service,GET /*,http.target,47e2a130-7462-4e5b-b549-5ff8f7a4a17f
a7a623eadf2236632500a202a5db86d3,2781e40fba2d2de1,ts-gateway-service,GET,http.url,12386
a7a623eadf2236632500a202a5db86d3,2781e40fba2d2de1,ts-gateway-service,GET,http.url,47e2a130-7462-4e5b-b549-5ff8f7a4a17f
a7a623eadf2236632500a202a5db86d3,2115cbb34b02aa68,ts-order-service,GET /api/v1/orderservice/order/{orderId},http.target,47e2a130-7462-4e5b-b549-5ff8f7a4a17f
a7a623eadf2236632500a202a5db86d3,a68f03d4687dae3d,ts-order-other-service,GET /api/v1/orderOtherService/orderOther/{orderId},http.target,47e2a130-7462-4e5b-b549-5ff8f7a4a17f
a7a623eadf2236632500a202a5db86d3,da838fc28f7fc2a4,ts-order-other-service,GET /api/v1/orderOtherService/orderOther/status/{orderId}/{status},http.target,47e2a130-7462-4e5b-b549-5ff8f7a4a17f
85495c87381d8cbb20a13b8dbe221cc2,9a734a967845d7f6,ts-gateway-service,GET,http.url,15678
