"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 08 23:53:40 CDT 2026","Fri May 08 23:53:51 CDT 2026","10466","ts-order-other-service","Flow_Scenario_475 | POST /api/v1/orderOtherService/orderOther/refresh","[Fault: POST__api_v1_orderOtherService_orderOther_refresh] SEMANTIC_MISMATCH (v36)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_475","test_negative_flow_S475_v36_fault_Root1_SEMANTIC_MISMATCH","test_negative_flow_S475_v36_fault_Root1_SEMANTIC_MISMATCH","Microservice test scenario with 1 steps."
"failed","Sat May 09 02:22:24 CDT 2026","Sat May 09 02:22:37 CDT 2026","12843","ts-admin-basic-info-service","Flow_Scenario_178 | PUT /api/v1/adminbasicservice/adminbasic/trains","[Valid] v54","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_178","test_positive_flow_S178_v54","test_positive_flow_S178_v54","Microservice test scenario with 1 steps."
"passed","Sat May 09 01:07:58 CDT 2026","Sat May 09 01:08:13 CDT 2026","15194","ts-consign-service","Flow_Scenario_894 | GET /api/v1/consignservice/consigns/order/{id}","[Fault: GET__api_v1_consignservice_consigns_order__id_] NULL_INPUT (v55)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_894","test_negative_flow_S894_v55_fault_Root1_NULL_INPUT","test_negative_flow_S894_v55_fault_Root1_NULL_INPUT","Microservice test scenario with 1 steps."
"passed","Sat May 09 01:21:16 CDT 2026","Sat May 09 01:21:29 CDT 2026","13187","ts-consign-service","Flow_Scenario_894 | GET /api/v1/consignservice/consigns/order/{id}","[Fault: GET__api_v1_consignservice_consigns_order__id_] NULL_INPUT (v45)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_894","test_negative_flow_S894_v45_fault_Root1_NULL_INPUT","test_negative_flow_S894_v45_fault_Root1_NULL_INPUT","Microservice test scenario with 1 steps."
"failed","Fri May 08 23:22:32 CDT 2026","Fri May 08 23:22:37 CDT 2026","5040","ts-order-other-service","Flow_Scenario_475 | POST /api/v1/orderOtherService/orderOther/refresh","[Fault: POST__api_v1_orderOtherService_orderOther_refresh] SPECIAL_CHARACTERS (v105)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_475","test_negative_flow_S475_v105_fault_Root1_SPECIAL_CHARACTERS","test_negative_flow_S475_v105_fault_Root1_SPECIAL_CHARACTERS","Microservice test scenario with 1 steps."
"failed","Sat May 09 02:14:04 CDT 2026","Sat May 09 02:14:17 CDT 2026","12659","ts-admin-basic-info-service","Flow_Scenario_178 | PUT /api/v1/adminbasicservice/adminbasic/trains","[Valid] v16","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_178","test_positive_flow_S178_v16","test_positive_flow_S178_v16","Microservice test scenario with 1 steps."
"passed","Fri May 08 23:38:23 CDT 2026","Fri May 08 23:38:32 CDT 2026","9228","ts-order-other-service","Flow_Scenario_475 | POST /api/v1/orderOtherService/orderOther/refresh","[Fault: POST__api_v1_orderOtherService_orderOther_refresh] SEMANTIC_MISMATCH (v232)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_475","test_negative_flow_S475_v232_fault_Root1_SEMANTIC_MISMATCH","test_negative_flow_S475_v232_fault_Root1_SEMANTIC_MISMATCH","Microservice test scenario with 1 steps."
"failed","Sat May 09 00:22:27 CDT 2026","Sat May 09 00:22:39 CDT 2026","11985","ts-admin-basic-info-service","Flow_Scenario_1040 | POST /api/v1/adminbasicservice/adminbasic/stations","[Valid] v29","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_1040","test_positive_flow_S1040_v29","test_positive_flow_S1040_v29","Microservice test scenario with 1 steps."
"failed","Fri May 08 23:32:00 CDT 2026","Fri May 08 23:32:09 CDT 2026","9282","ts-order-other-service","Flow_Scenario_475 | POST /api/v1/orderOtherService/orderOther/refresh","[Fault: POST__api_v1_orderOtherService_orderOther_refresh] SPECIAL_CHARACTERS (v80)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_475","test_negative_flow_S475_v80_fault_Root1_SPECIAL_CHARACTERS","test_negative_flow_S475_v80_fault_Root1_SPECIAL_CHARACTERS","Microservice test scenario with 1 steps."
"failed","Sat May 09 00:02:16 CDT 2026","Sat May 09 00:02:27 CDT 2026","11184","ts-travel-plan-service","Flow_Scenario_276 | POST /api/v1/travelplanservice/travelPlan/cheapest","[Valid] v16","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_276","test_positive_flow_S276_v16","test_positive_flow_S276_v16","Microservice test scenario with 1 steps."
"passed","Fri May 08 23:24:17 CDT 2026","Fri May 08 23:24:22 CDT 2026","5052","ts-order-other-service","Flow_Scenario_475 | POST /api/v1/orderOtherService/orderOther/refresh","[Valid] v7","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_475","test_positive_flow_S475_v7","test_positive_flow_S475_v7","Microservice test scenario with 1 steps."
"failed","Fri May 08 23:33:36 CDT 2026","Fri May 08 23:33:45 CDT 2026","9225","ts-order-other-service","Flow_Scenario_475 | POST /api/v1/orderOtherService/orderOther/refresh","[Fault: POST__api_v1_orderOtherService_orderOther_refresh] SPECIAL_CHARACTERS (v151)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_475","test_negative_flow_S475_v151_fault_Root1_SPECIAL_CHARACTERS","test_negative_flow_S475_v151_fault_Root1_SPECIAL_CHARACTERS","Microservice test scenario with 1 steps."
"passed","Fri May 08 23:34:48 CDT 2026","Fri May 08 23:34:53 CDT 2026","5049","ts-order-other-service","Flow_Scenario_475 | POST /api/v1/orderOtherService/orderOther/refresh","[Fault: POST__api_v1_orderOtherService_orderOther_refresh] TYPE_MISMATCH (v214)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_475","test_negative_flow_S475_v214_fault_Root1_TYPE_MISMATCH","test_negative_flow_S475_v214_fault_Root1_TYPE_MISMATCH","Microservice test scenario with 1 steps."
"passed","Sat May 09 00:59:16 CDT 2026","Sat May 09 00:59:29 CDT 2026","12596","ts-execute-service","Flow_Scenario_420 | GET /api/v1/executeservice/execute/execute/{orderId}","[Fault: GET__api_v1_executeservice_execute_execute__orderId_] NULL_INPUT (v22)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_420","test_negative_flow_S420_v22_fault_Root1_NULL_INPUT","test_negative_flow_S420_v22_fault_Root1_NULL_INPUT","Microservice test scenario with 1 steps."
"failed","Sat May 09 01:26:34 CDT 2026","Sat May 09 01:26:47 CDT 2026","13471","ts-admin-basic-info-service","Flow_Scenario_994 | PUT /api/v1/adminbasicservice/adminbasic/stations","[Valid] v16","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_994","test_positive_flow_S994_v16","test_positive_flow_S994_v16","Microservice test scenario with 1 steps."
"failed","Sat May 09 01:23:57 CDT 2026","Sat May 09 01:24:10 CDT 2026","13192","ts-admin-basic-info-service","Flow_Scenario_994 | PUT /api/v1/adminbasicservice/adminbasic/stations","[Valid] v3","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_994","test_positive_flow_S994_v3","test_positive_flow_S994_v3","Microservice test scenario with 1 steps."
"passed","Sat May 09 00:06:09 CDT 2026","Sat May 09 00:06:19 CDT 2026","9414","ts-travel-plan-service","Flow_Scenario_276 | POST /api/v1/travelplanservice/travelPlan/cheapest","[Fault: POST__api_v1_travelplanservice_travelPlan_cheapest] SPECIAL_CHARACTERS (v141)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_276","test_negative_flow_S276_v141_fault_Root1_SPECIAL_CHARACTERS","test_negative_flow_S276_v141_fault_Root1_SPECIAL_CHARACTERS","Microservice test scenario with 1 steps."
"passed","Sat May 09 02:06:15 CDT 2026","Sat May 09 02:06:27 CDT 2026","12666","ts-admin-basic-info-service","Flow_Scenario_3 | POST /api/v1/adminbasicservice/adminbasic/trains","[Fault: POST__api_v1_adminbasicservice_adminbasic_trains] TYPE_MISMATCH (v58)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_3","test_negative_flow_S3_v58_fault_Root1_TYPE_MISMATCH","test_negative_flow_S3_v58_fault_Root1_TYPE_MISMATCH","Microservice test scenario with 1 steps."
"passed","Sat May 09 00:53:53 CDT 2026","Sat May 09 00:54:07 CDT 2026","14687","ts-execute-service","Flow_Scenario_420 | GET /api/v1/executeservice/execute/execute/{orderId}","[Fault: GET__api_v1_executeservice_execute_execute__orderId_] SPECIAL_CHARACTERS (v36)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_420","test_negative_flow_S420_v36_fault_Root1_SPECIAL_CHARACTERS","test_negative_flow_S420_v36_fault_Root1_SPECIAL_CHARACTERS","Microservice test scenario with 1 steps."
"passed","Sat May 09 01:45:57 CDT 2026","Sat May 09 01:46:11 CDT 2026","13852","ts-admin-basic-info-service","Flow_Scenario_3 | POST /api/v1/adminbasicservice/adminbasic/trains","[Fault: POST__api_v1_adminbasicservice_adminbasic_trains] OVERFLOW (v136)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_3","test_negative_flow_S3_v136_fault_Root1_OVERFLOW","test_negative_flow_S3_v136_fault_Root1_OVERFLOW","Microservice test scenario with 1 steps."
"failed","Fri May 08 23:29:34 CDT 2026","Fri May 08 23:29:43 CDT 2026","9220","ts-order-other-service","Flow_Scenario_475 | POST /api/v1/orderOtherService/orderOther/refresh","[Fault: POST__api_v1_orderOtherService_orderOther_refresh] OVERFLOW (v210)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_475","test_negative_flow_S475_v210_fault_Root1_OVERFLOW","test_negative_flow_S475_v210_fault_Root1_OVERFLOW","Microservice test scenario with 1 steps."
"passed","Sat May 09 00:19:11 CDT 2026","Sat May 09 00:19:21 CDT 2026","9472","ts-travel-plan-service","Flow_Scenario_276 | POST /api/v1/travelplanservice/travelPlan/cheapest","[Fault: POST__api_v1_travelplanservice_travelPlan_cheapest] SPECIAL_CHARACTERS (v144)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_276","test_negative_flow_S276_v144_fault_Root1_SPECIAL_CHARACTERS","test_negative_flow_S276_v144_fault_Root1_SPECIAL_CHARACTERS","Microservice test scenario with 1 steps."
